,Country,City,AccentCity,Region,Population,Latitude,Longitude
106311,am,madina,Madina,4.0,1024.0,40.0802778,45.2511111
106323,am,maisyan,Maisyan,7.0,1521.0,40.853055600000005,43.82944439999999
106337,am,malishka,Malishka,10.0,4174.0,39.7369444,45.3875
106348,am,maralik,Maralik,7.0,4959.0,40.5722222,43.866944399999994
106350,am,margahovit,Margahovit,6.0,3308.0,40.7380556,44.6875
106352,am,margara,Margara,3.0,1360.0,40.0336111,44.173888899999994
106354,am,marmarashen,Marmarashen,2.0,2946.0,40.0575,44.4711111
106356,am,marmashen,Marmashen,7.0,1644.0,40.8375,43.771944399999995
106361,am,martuni,Martuni,4.0,11037.0,40.144722200000004,45.306388899999995
106363,am,masis,Masis,2.0,18911.0,40.0138889,44.485833299999996
106367,am,mayakovski,Mayakovski,5.0,1727.0,40.2522222,44.6383333
106373,am,meghradzor,Meghradzor,5.0,2659.0,40.6147222,44.652222200000004
106374,am,meghrashen,Meghrashen,7.0,1107.0,40.6758333,43.9486111
106375,am,meghri,Meghri,8.0,4540.0,38.902222200000004,46.2383333
106396,am,merdzavan,Merdzavan,3.0,2702.0,40.1816667,44.3991667
106400,am,metsamor,Metsamor,3.0,8789.0,40.071388899999995,44.2891667
106402,am,metsavan,Metsavan,6.0,4767.0,41.201666700000004,44.228888899999994
106413,am,mets masrik,Mets Masrik,4.0,2570.0,40.218611100000004,45.7694444
106415,am,mets parni,Mets Parni,6.0,1934.0,40.8372222,44.1091667
106447,am,mosesgegh,Mosesgegh,9.0,1964.0,40.906388899999996,45.4913889
106451,am,mrganush,Mrganush,2.0,1032.0,40.028611100000006,44.5586111
106452,am,mrgashat,Mrgashat,3.0,4961.0,40.1297222,44.070555600000006
106453,am,mrgashen,Mrgashen,5.0,1623.0,40.285,44.5422222
106455,am,mrgavan,Mrgavan,2.0,1713.0,39.966111100000006,44.533333299999995
106456,am,mrgavet,Mrgavet,2.0,2131.0,40.0283333,44.4827778
106471,am,musaler,Musaler,3.0,2323.0,40.154444399999996,44.3777778
106475,am,musayelyan,Musayelyan,7.0,1499.0,40.7652778,43.9908333
106480,am,myasnikyan,Myasnikyan,3.0,3458.0,40.1775,43.906388899999996
106484,am,nalbandyan,Nalbandyan,3.0,4019.0,40.0677778,43.985555600000005
106488,am,navur,Navur,9.0,1227.0,40.861388899999994,45.3175
106543,am,nizami,Nizami,2.0,1060.0,40.0913889,44.404166700000005
106586,am,norakert,Norakert,1.0,2485.0,40.1922222,44.3466667
106590,am,noramarg,Noramarg,2.0,1811.0,40.023611100000004,44.4244444
106597,am,nor armavir,Nor Armavir,3.0,1597.0,40.0866667,43.99
106602,am,norashen,Norashen,2.0,3049.0,40.0041667,44.5947222
106604,am,norashen,Norashen,6.0,1386.0,41.188055600000006,44.3272222
106606,am,noratus,Noratus,4.0,5426.0,40.3822222,45.1783333
106616,am,nor geghi,Nor Geghi,5.0,4896.0,40.3211111,44.5797222
106619,am,nor gyukh,Nor Gyukh,5.0,1462.0,40.2666667,44.656388899999996
106637,am,nor yerznka,Nor Yerznka,5.0,1459.0,40.3133333,44.4047222
106644,am,noyakert,Noyakert,2.0,1751.0,39.8166667,44.6669444
106645,am,noyemberyan,Noyemberyan,9.0,5119.0,41.1725,44.9936111
106646,am,nshavan,Nshavan,2.0,1916.0,40.02638889999999,44.5252778
106654,am,odzun,Odzun,6.0,4524.0,41.0538889,44.611388899999994
106680,am,oshakan,Oshakan,1.0,4768.0,40.2705556,44.2691667
106702,am,paravakar,Paravakar,9.0,1637.0,40.9805556,45.3991667
106721,am,pemzashen,Pemzashen,7.0,2436.0,40.5933333,43.94
106744,am,pokr mantash,Pokr Mantash,7.0,1838.0,40.65,44.05
106765,am,proshyan,Proshyan,5.0,4333.0,40.2480556,44.415
106768,am,pshatavan,Pshatavan,3.0,2159.0,40.040555600000005,44.0675
106769,am,ptghni,Ptghni,5.0,1231.0,40.256666700000004,44.585
106788,am,ranchpar,Ranchpar,2.0,989.0,40.0252778,44.3702778
106802,am,rind,Rind,10.0,1368.0,39.7597222,45.18
106819,am,samaghar,Samaghar,3.0,2343.0,40.1852778,44.2422222
106838,am,saramech,Saramech,6.0,1111.0,40.7725,44.2191667
